idLen;idStyle;idRec;abCat;time;name;date;place
0;0;0;MB;00:20.91;凯撒 希罗 菲里奥;;男子50米自由泳wr
1;0;0;;00:46.86;波波维奇;;男子小学乙组100米自由泳wr
2;0;0;MB;01:42.00;比德尔曼;;男子200米自由泳wr
3;0;0;MB;03:40.07;比德尔曼;;男子400米自由泳wr
4;0;0;MB;07:32.12;张琳;;男子800米自由泳wr
5;0;0;MB;14:31.02;孙杨;;男子1500米自由泳wr
0;1;0;MB;00:23.71;阿姆斯特朗;;男子50米仰泳wr
1;1;0;MB;00:51.60;切孔;;男子100米仰泳wr
2;1;0;MB;01:51.92;阿伦·佩尔索尔;;男子200米仰泳wr
0;2;0;MB;00:25.95;亚当皮提;;男子50米蛙泳wr
1;2;0;MB;00:56.88;亚当皮提;;男子100米蛙泳wr
2;2;0;MB;02:05.48;覃海洋;;男子200米蛙泳wr
0;3;0;MB;00:22.27;安德烈·戈沃罗夫;;男子50米蝶泳wr
1;3;0;MB;00:49.45;德雷塞尔;;男子100米蝶泳wr
2;3;0;MB;01:50.34;米拉克·克里斯托夫;;男子200米蝶泳wr
2;4;0;MB;01:54.00;莱恩·罗切特;;男子200米个人混合泳wr
3;4;0;MB;04:02.50;马钱·德里昂;;男子400米个人混合泳wr
7;5;0;MB;03:08.24;;;男子4X100米自由泳接力wr
8;5;0;MB;06:58.55;;;男子4X200米自由泳接力wr
7;6;0;MB;03:26.78;;;男子4X100米混合泳接力wr
0;0;1;MB;00:21.67;盐浦慎理;;男子50米自由泳ar
1;0;1;MB;00:46.97;潘展乐;;男子100米自由泳ar
2;0;1;MB;01:44.39;孙杨;;男子200米自由泳ar
3;0;1;MB;03:40.14;孙杨;;男子400米自由泳ar
4;0;1;MB;07:32.12;张琳;;男子800米自由泳ar
5;0;1;MB;14:31.02;孙杨;;男子1500米自由泳ar
0;1;1;MB;00:24.24;古贺淳也;;男子50米仰泳ar
1;1;1;MB;00:51.86;徐嘉余;;男子100米仰泳ar
2;1;1;MB;01:52.51;入江陵介;;男子200米仰泳ar
0;2;1;MB;00:26.02;覃海洋;;男子50米蛙泳ar
1;2;1;MB;00:57.69;覃海洋;;男子100米蛙泳ar
2;2;1;MB;02:05.48;覃海洋;;男子200米蛙泳ar
0;3;1;MB;00:22.93;约瑟夫·艾萨克·斯库;;男子50米蝶泳ar
1;3;1;MB;00:50.39;约瑟夫·艾萨克·斯库;;男子100米蝶泳ar
